"","state_county","trump","biden","others"
"292","connecticut,bozrah",703,817,28
"293","connecticut,branford",10562,7098,253
"294","connecticut,bridgeport",33515,8269,404
"295","connecticut,bridgewater",667,549,17
"296","connecticut,bristol",15462,13834,503
"297","connecticut,brookfield",5426,5226,155
"298","connecticut,brooklyn",1876,2262,84
"299","connecticut,burlington",3099,3034,100
"300","connecticut,canaan",437,209,9
"301","connecticut,canterbury",1182,1755,75
"302","connecticut,canton",3878,2663,122
"303","connecticut,chaplin",598,662,30
"304","connecticut,cheshire",9745,7349,324
"305","connecticut,chester",1701,853,42
"306","connecticut,clinton",4368,3312,124
"307","connecticut,colchester",5216,4243,232
"308","connecticut,colebrook",403,563,22
"309","connecticut,columbia",1888,1600,80
"310","connecticut,cornwall",760,250,22
"311","connecticut,coventry",4011,3545,216
"312","connecticut,cromwell",4872,3749,162
"313","connecticut,danbury",18869,12788,364
"314","connecticut,darien",7876,4921,221
"315","connecticut,deep river",1785,1076,41
"316","connecticut,derby",2963,2749,66
"317","connecticut,durham",2363,2330,89
"318","connecticut,eastford",464,572,31
"319","connecticut,east granby",1789,1405,70
"320","connecticut,east haddam",2980,2731,114
"321","connecticut,east hampton",4051,3746,191
"322","connecticut,east hartford",14787,5524,296
"323","connecticut,east haven",6757,7572,172
"324","connecticut,east lyme",7290,4285,181
"325","connecticut,easton",2777,2178,68
"326","connecticut,east windsor",3008,2541,103
"327","connecticut,ellington",4787,4515,189
"328","connecticut,enfield",11263,9298,368
"329","connecticut,essex",3011,1635,69
"330","connecticut,fairfield",22861,12052,501
"331","connecticut,farmington",9616,6160,261
"332","connecticut,franklin",553,674,34
"333","connecticut,glastonbury",13990,7998,386
"334","connecticut,goshen",902,1161,37
"335","connecticut,granby",4029,3166,178
"336","connecticut,greenwich",22243,13269,600
"337","connecticut,griswold",2565,3257,159
"338","connecticut,groton",10699,6272,418
"339","connecticut,guilford",9616,5050,201
"340","connecticut,haddam",2728,2693,96
"341","connecticut,hamden",21652,7139,313
"342","connecticut,hampton",572,551,16
"343","connecticut,hartford",28301,4116,270
"344","connecticut,hartland",457,818,17
"345","connecticut,harwinton",1397,2229,75
"346","connecticut,hebron",3388,2731,147
"347","connecticut,kent",1277,568,20
"348","connecticut,killingly",3402,4678,203
"349","connecticut,killingworth",2343,1979,65
"350","connecticut,lebanon",2052,2268,118
